ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,language,Glottolog_Name
Kusunda,Kusunda,,28.33,82.6,kusu1250,,,Kusunda,Kusunda
Laal,Laal,,10.0063,17.6143,laal1242,,,Laal,Laal
Latin,Latin,,41.9026,12.4502,lati1261,,,Latin,Latin
LatinLate,LatinLate,,,,late1252,,,LatinLate,Late Latin
Mada,Mada,,10.8806,14.1142,mada1293,,,Mada,Mada (Cameroon)
Malagasy,Malagasy,,-19.5907,47.1211,plat1254,,,Malagasy,Plateau Malagasy
Mandarin,Mandarin,,40.0209,116.228,mand1415,,,Mandarin,Mandarin Chinese
Marshallese,Marshallese,,8.72,167.73,mars1254,,,Marshallese,Marshallese
Miya,Miya,,10.9234,9.71505,miya1266,,,Miya,Miya
Moduokru,Moduokru,,5.38228,-4.52522,adio1239,,,mɔ́dӡúkrù,Adioukrou
Munduruku,Munduruku,,-8.41095,-57.691,mund1330,,,Mundurukú,Mundurukú
Muyang,Muyang,,10.86047,14.21246,muya1243,,,Muyang,Muyang
NahuatlCentralHuasteca,NahuatlCentralHuasteca,,21.0963,-98.4356,cent2134,,,NahuatlCentralHuasteca,Central Huasteca Nahuatl
Nepali,Nepali,,27.5947033333,87.6200833333,east1436,,,Nepali,Eastern Pahari
Norwegian,Norwegian,,59.92,10.71,norw1258,,,Norwegian,Norwegian
Nupe,Nupe,,9.18404,5.40031,nupe1254,,,Nupe,Nupe-Nupe-Tako
Nweh,Nweh,,5.49787,9.9028,ngwe1238,,,Nweh,Ngwe
NzimaTiapoum,NzimaTiapoum,,5.1785,-2.81123,nzim1238,,,NzimaTiapoum,Nzima
OluwangaEji,OluwangaEji,,0.343,34.477,wang1294,,,OluwangaEji,Wanga
Pashto,Pashto,,,,pash1269,,,Pashto,Pashto
Polish,Polish,,51.8439,18.6255,poli1260,,,Polish,Polish
PomeranianBrazilian,PomeranianBrazilian,,,,east2293,,,PomeranianBrazilian,Mittelpommersch
Portuguese,Portuguese,,39.91,-8.1,port1283,,,Portuguese,Portuguese
PortugueseBrazilian,PortugueseBrazilian,,,,braz1246,,,PortugueseBrazilian,Brazilian Portuguese
Qanjobal,Qanjobal,,15.6846,-91.3043,qanj1241,,,Qanjobal,Q'anjob'al
QuichuaImbaburaQuichua,QuichuaImbaburaQuichua,,0.31776,-78.3729,imba1240,,,QuichuaImbaburaQuichua,Imbabura Highland Quichua
Romanian,Romanian,,46.3913,24.2256,roma1327,,,Romanian,Romanian
Russian,Russian,,59.0,50.0,russ1263,,,Russian,Russian
Samoan,Samoan,,-13.92,-171.83,samo1305,,,Samoan,Samoan
SaxonOld,SaxonOld,,52.37,9.72,olds1250,,,SaxonOld,Old Saxon
Serbian,Serbian,,44.3238,21.9192,serb1264,,,Serbian,Serbian Standard
Shupamem,Shupamem,,5.49017,10.8477,bamu1253,,,Shupamem,Bamun
Skou,Skou,,-2.64378,140.902,nucl1634,,,Skou,Skou
Spanish,Spanish,,40.4414,-1.11788,stan1288,,,Spanish,Spanish
Swedish,Swedish,,59.800634,17.389526,swed1254,,,Swedish,Swedish
Tagalog,Tagalog,,14.06,121.747,taga1270,,,Tagalog,Tagalog
TaiwaneseSouthernMin,TaiwaneseSouthernMin,,,,,,,TaiwaneseSouthernMin,
Thai,Thai,,14.192,100.671,thai1261,,,Thai,Thai
Tommo_So,Tommo-So,,14.756,-3.28,tomm1242,,,Tommo-So,Tommo So Dogon
TukangBesi,TukangBesi,,,,tuka1247,,,TukangBesi,Tukang Besi
TukiTukombo,TukiTukombo,,4.64348,11.5353,tuki1240,,,TukiTukombo,Tuki
TupiTupinamba,TupiTupinamba,,-22.807778,-42.106389,tupi1273,,,TupíTupinambá,Tupinambá
Turkish,Turkish,,39.8667,32.8667,nucl1301,,,Turkish,Turkish
Twi,Twi,,,,akan1251,,,Twi,Akanic
Vata,Vata,,,,vata1239,,,Vata,Vata
Vietnamese,Vietnamese,,20.681188,105.774071,viet1252,,,Vietnamese,Vietnamese
Wolof,Wolof,,15.2534,-15.383,nucl1347,,,Wolof,Wolof
Xhosa,Xhosa,,-31.0389,28.0769,xhos1239,,,Xhosa,Xhosa
Yemba,Yemba,,5.47421,10.0214,yemb1246,,,Yémba,Yemba
